"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
253,5783,44705.84,59260.50,154.07,1270,420,0,16.72
254,5872,44679.60,59257.95,213.30,2581,394,0,15.54
255,5913,44702.52,59259.57,194.11,1860,420,0,17.80
256,5914,44702.52,59259.57,194.11,1860,420,0,17.80
257,6019,44737.65,59256.81,220.78,2843,397,0,14.98
258,6095,44682.48,59264.44,196.15,2171,404,0,15.46
259,6181,44706.26,59225.16,211.12,2513,399,0,15.47
260,6182,44706.26,59225.16,211.12,2513,399,0,15.47
261,6226,44720.97,59262.89,221.67,2725,402,0,16.43
262,6285,44704.84,59244.53,209.02,1964,408,0,19.25
263,6369,44736.60,59258.16,195.96,1918,409,0,17.40
264,6370,44736.60,59258.16,195.96,1918,409,0,17.40
265,6425,44728.14,59262.11,212.52,2252,405,0,17.40
266,6437,44704.81,59261.77,139.23,992,426,0,17.76
267,6483,44722.08,59249.84,224.33,3008,391,0,15.17
268,6484,44722.08,59249.84,224.33,3008,391,0,15.17
269,6658,44732.23,59264.71,165.56,1564,412,0,15.63
270,6704,44677.03,59252.06,224.50,2414,408,0,18.92
271,6705,44677.03,59252.06,224.50,2414,408,0,18.92
272,6721,44732.40,59256.65,208.96,2492,401,0,15.66
273,6722,44732.40,59256.65,208.96,2492,401,0,15.66
274,6827,44708.98,59259.50,154.75,1269,423,0,16.92
275,7013,44713.01,59263.62,192.70,1849,400,0,17.28
276,7030,44725.17,59265.53,179.71,1675,414,0,17.14
277,7031,44725.17,59265.53,179.71,1675,414,0,17.14
278,7075,44742.81,59265.14,188.67,1979,409,0,16.04
279,7076,44742.81,59265.14,188.67,1979,409,0,16.04
280,7077,44739.89,59232.53,168.07,1336,417,0,18.58
281,7090,44730.30,59251.27,165.31,1286,417,0,18.68
282,7114,44729.55,59255.64,171.33,1572,409,0,16.49
283,7199,44686.32,59253.17,211.03,1934,409,0,19.96
284,7366,44745.43,59252.59,214.09,2448,410,0,17.21
285,7453,44711.38,59264.07,199.63,2349,400,0,14.75
286,7886,44687.02,59261.21,161.44,1453,413,0,15.90
287,7887,44687.02,59261.21,161.44,1453,413,0,15.90
288,8111,44717.46,59266.14,125.76,913,426,0,16.07
289,8182,44734.79,59258.13,157.96,1345,423,0,16.68
290,8500,44740.02,59266.61,211.23,2253,406,0,17.60
291,8581,44676.42,59254.10,216.48,2241,403,0,18.17
292,8582,44676.42,59254.10,216.48,2241,403,0,18.17
293,8729,44687.35,59256.82,193.59,2145,402,0,15.48
294,8737,44710.42,59254.68,155.38,1383,414,0,15.63
295,8806,44717.12,59260.94,216.40,2684,398,0,15.82
296,8822,44701.54,59259.02,180.90,1822,408,0,15.92
297,8823,44701.54,59259.02,180.90,1822,408,0,15.92
298,9143,44740.17,59248.61,150.26,1304,422,0,15.63
299,9202,44713.23,59256.99,187.10,1919,413,0,16.00
300,9203,44713.23,59256.99,187.10,1919,413,0,16.00
301,9228,44723.37,59254.55,167.89,1216,424,0,20.41
302,9337,44659.90,59250.83,207.25,2265,406,0,16.62
303,9397,44698.72,59261.31,210.73,2176,406,0,18.25
304,9398,44698.72,59261.31,210.73,2176,406,0,18.25
305,9409,44714.67,59262.10,210.50,2400,406,0,16.60
306,9410,44714.67,59262.10,210.50,2400,406,0,16.60
307,9810,44746.99,59264.39,195.74,1461,421,0,22.77
308,9906,44727.51,59240.27,220.73,2658,406,0,16.47
309,9980,44688.98,59262.56,201.11,1935,414,0,18.49
310,9981,44688.98,59262.56,201.11,1935,414,0,18.49
311,10060,44736.07,59265.07,226.12,2485,399,0,17.84
312,10079,44707.20,59263.53,222.26,2217,405,0,19.31
313,10392,44731.76,59260.88,201.74,1733,410,0,20.26
314,10407,44761.26,59266.75,181.84,1752,410,0,16.59
315,10561,44687.15,59266.64,177.90,1462,422,0,19.14
316,10599,44682.05,59234.48,143.60,1323,418,0,14.20
317,10685,44692.24,59251.66,258.02,2973,394,0,19.91
318,10686,44692.24,59251.66,258.02,2973,394,0,19.91
319,10800,44724.31,59265.84,151.88,1136,418,0,18.06
320,10911,44755.47,59263.24,212.98,2511,409,0,16.13
321,10917,44738.57,59237.57,204.30,2187,407,0,16.90
322,11001,44687.54,59257.25,202.90,2304,404,0,15.62
